ID	Species	MLST	Locus_1	Locus_2	Locus_3	Locus_4	Locus_5	Locus_6	Locus_7	
ERR1102579.fa	lmonocytogenes	1936	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(12)	lhkA(5)	
ERR1102580.fa	lmonocytogenes	1935	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102581.fa	lmonocytogenes	1933	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102582.fa	lmonocytogenes	1931	abcZ(5)	bglA(6)	cat(8)	dapE(62)	dat(6)	ldh(7)	lhkA(34)	
ERR1102583.fa	lmonocytogenes	1930	abcZ(5)	bglA(6)	cat(8)	dapE(62)	dat(6)	ldh(7)	lhkA(34)	
ERR1102584.fa	lmonocytogenes	1930	abcZ(6)	bglA(5)	cat(6)	dapE(4)	dat(1)	ldh(4)	lhkA(1)	
ERR1102585.fa	lmonocytogenes	1930	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102586.fa	lmonocytogenes	1929	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102587.fa	lmonocytogenes	1928	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102588.fa	lmonocytogenes	1927	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102589.fa	lmonocytogenes	1926	abcZ(6)	bglA(5)	cat(6)	dapE(4)	dat(1)	ldh(4)	lhkA(1)	
ERR1102590.fa	lmonocytogenes	1925	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102591.fa	lmonocytogenes	1925	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102592.fa	lmonocytogenes	1923	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102593.fa	lmonocytogenes	1922	abcZ(3)	bglA(1)	cat(12)	dapE(3)	dat(2)	ldh(94)	lhkA(5)	
ERR1102594.fa	lmonocytogenes	1921	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102595.fa	lmonocytogenes	1920	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102596.fa	lmonocytogenes	1920	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102597.fa	lmonocytogenes	1919	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102598.fa	lmonocytogenes	1917	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102599.fa	lmonocytogenes	1916	abcZ(12)	bglA(1)	cat(4)	dapE(14)	dat(3)	ldh(39)	lhkA(4)	
ERR1102600.fa	lmonocytogenes	1916	abcZ(7)	bglA(7)	cat(3)	dapE(10)	dat(5)	ldh(6)	lhkA(1)	
ERR1102601.fa	lmonocytogenes	1915	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102602.fa	lmonocytogenes	1914	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102603.fa	lmonocytogenes	1913	abcZ(34)	bglA(12)	cat(11)	dapE(16)	dat(3)	ldh(1)	lhkA(2)	
ERR1102604.fa	lmonocytogenes	1912	abcZ(6)	bglA(5)	cat(6)	dapE(4)	dat(1)	ldh(4)	lhkA(1)	
ERR1102605.fa	lmonocytogenes	1911	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102606.fa	lmonocytogenes	1910	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102607.fa	lmonocytogenes	1909	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102608.fa	lmonocytogenes	1908	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102609.fa	lmonocytogenes	1907	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102610.fa	lmonocytogenes	1907	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102611.fa	lmonocytogenes	1906	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102612.fa	lmonocytogenes	1905	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102613.fa	lmonocytogenes	1904	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102614.fa	lmonocytogenes	1903	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102615.fa	lmonocytogenes	1902	abcZ(22)	bglA(33)	cat(21)	dapE(24)	dat(17)	ldh(31)	lhkA(13)	
ERR1102616.fa	lmonocytogenes	1901	abcZ(1)	bglA(1)	cat(12)	dapE(17)	dat(2)	ldh(1)	lhkA(3)	
ERR1102617.fa	lmonocytogenes	1900	abcZ(7)	bglA(15)	cat(15)	dapE(8)	dat(6)	ldh(14)	lhkA(9)	
ERR1102618.fa	lmonocytogenes	1899	abcZ(7)	bglA(6)	cat(15)	dapE(6)	dat(5)	ldh(2)	lhkA(1)	
ERR1102619.fa	lmonocytogenes	1899	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102620.fa	lmonocytogenes	1898	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102621.fa	lmonocytogenes	1897	abcZ(7)	bglA(15)	cat(15)	dapE(8)	dat(6)	ldh(14)	lhkA(9)	
ERR1102622.fa	lmonocytogenes	1896	abcZ(7)	bglA(15)	cat(15)	dapE(8)	dat(6)	ldh(14)	lhkA(9)	
ERR1102623.fa	lmonocytogenes	1895	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102624.fa	lmonocytogenes	1894	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102625.fa	lmonocytogenes	1893	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102626.fa	lmonocytogenes	1893	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102627.fa	lmonocytogenes	1892	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102628.fa	lmonocytogenes	1891	abcZ(2)	bglA(1)	cat(11)	dapE(3)	dat(3)	ldh(1)	lhkA(7)	
ERR1102629.fa	lmonocytogenes	1890	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102630.fa	lmonocytogenes	1889	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102631.fa	lmonocytogenes	1888	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102632.fa	lmonocytogenes	1887	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102633.fa	lmonocytogenes	1886	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102634.fa	lmonocytogenes	1885	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102635.fa	lmonocytogenes	1884	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102636.fa	lmonocytogenes	1883	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102637.fa	lmonocytogenes	1882	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102638.fa	lmonocytogenes	1881	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102639.fa	lmonocytogenes	1879	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102640.fa	lmonocytogenes	1878	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1109921.fa	lmonocytogenes	1877	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(194)	lhkA(3)	
ERR1202024.fa	lmonocytogenes	1876	abcZ(5)	bglA(8)	cat(5)	dapE(7)	dat(6)	ldh(2)	lhkA(1)	
ERR1230359.fa	lmonocytogenes	1875	abcZ(31)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1230360.fa	lmonocytogenes	1874	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(59)	lhkA(5)	
ERR1230361.fa	lmonocytogenes	1873	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(10)	lhkA(5)	
ERR1230362.fa	lmonocytogenes	1872	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1230363.fa	lmonocytogenes	1871	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(10)	lhkA(5)	
ERR1230364.fa	lmonocytogenes	1871	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1230365.fa	lmonocytogenes	1871	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1230366.fa	lmonocytogenes	1871	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1230367.fa	lmonocytogenes	1871	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1230368.fa	lmonocytogenes	1871	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1230369.fa	lmonocytogenes	1870	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(90)	lhkA(5)	
ERR1230370.fa	lmonocytogenes	1869	abcZ(2)	bglA(1)	cat(11)	dapE(3)	dat(3)	ldh(1)	lhkA(7)	
ERR1230371.fa	lmonocytogenes	1868	abcZ(2)	bglA(1)	cat(11)	dapE(3)	dat(3)	ldh(1)	lhkA(7)	
ERR1230372.fa	lmonocytogenes	1867	abcZ(2)	bglA(1)	cat(11)	dapE(3)	dat(3)	ldh(1)	lhkA(7)	
ERR1230373.fa	lmonocytogenes	1866	abcZ(2)	bglA(1)	cat(11)	dapE(3)	dat(3)	ldh(1)	lhkA(7)	
ERR1230374.fa	lmonocytogenes	1865	abcZ(2)	bglA(1)	cat(11)	dapE(3)	dat(3)	ldh(1)	lhkA(7)	
ERR1230375.fa	lmonocytogenes	1864	abcZ(11)	bglA(1)	cat(12)	dapE(16)	dat(3)	ldh(1)	lhkA(7)	
ERR1230376.fa	lmonocytogenes	1863	abcZ(11)	bglA(1)	cat(12)	dapE(16)	dat(3)	ldh(1)	lhkA(7)	
ERR1230377.fa	lmonocytogenes	1862	abcZ(12)	bglA(1)	cat(4)	dapE(14)	dat(3)	ldh(39)	lhkA(4)	
ERR1230378.fa	lmonocytogenes	1861	abcZ(11)	bglA(9)	cat(12)	dapE(3)	dat(3)	ldh(1)	lhkA(4)	
ERR1230379.fa	lmonocytogenes	1861	abcZ(11)	bglA(9)	cat(12)	dapE(3)	dat(3)	ldh(1)	lhkA(4)	
ERR1230380.fa	lmonocytogenes	1861	abcZ(11)	bglA(3)	cat(4)	dapE(26)	dat(3)	ldh(1)	lhkA(4)	
ERR1230381.fa	lmonocytogenes	1861	abcZ(11)	bglA(3)	cat(4)	dapE(26)	dat(3)	ldh(1)	lhkA(4)	
ERR1230382.fa	lmonocytogenes	1861	abcZ(11)	bglA(3)	cat(4)	dapE(26)	dat(3)	ldh(1)	lhkA(4)	
ERR1230383.fa	lmonocytogenes	1861	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1230384.fa	lmonocytogenes	1861	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1230385.fa	lmonocytogenes	1861	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1230386.fa	lmonocytogenes	1861	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
