,0
222,SRR2086084
223,SRR1816389
224,SRR3198660
225,SRR3214170
226,SRR7518016
227,SRR4014396
228,SRR3395011
229,SRR1288445
230,SRR6679600
231,SRR6207758
232,ERR2522056
233,SRR5292092
234,SRR5105906
235,SRR6786637
236,SRR1272902
237,SRR3180510
238,ERR1102474
239,SRR1575057
240,SRR7525568
241,SRR2154049
242,ERR2520729
243,ERR1100969
244,SRR7013011
245,SRR1818037
246,ERR2523733
247,SRR2540519
248,SRR4052178
249,ERR2261734
250,SRR4052261
251,SRR6326045
252,SRR3399740
253,SRR6930541
254,SRR6395469
255,SRR5985666
256,SRR2533605
257,SRR5646983
258,SRR5133498
259,SRR3108910
260,SRR4421250
261,SRR1039786
262,SRR5947762
263,SRR2051121
264,SRR6369103
265,SRR4052004
266,SRR3114212
267,SRR1665132
268,SRR3114200
269,SRR4416140
270,SRR6902726
271,SRR4098793
272,SRR4473719
273,ERR2521291
274,SRR2482374
275,ERR2261435
276,SRR5231230
277,SRR5910156
278,SRR5811621
279,SRR1505012
280,SRR5764636
281,SRR3309164
282,SRR3554624
283,SRR1805547
284,SRR5131992
285,SRR2156512
286,SRR2578335
287,SRR5280367
288,SRR5865510
289,SRR2650308
290,SRR5160278
291,SRR3555067
292,SRR5010522
293,ERR2261597
294,SRR2047259
295,SRR1810541
296,SRR1030337
297,SRR7551198
298,SRR3110538
299,SRR5341849
300,SRR6178827
301,SRR3622469
302,SRR2960761
303,SRR5646645
304,SRR5861482
305,SRR3116187
306,SRR3945591
307,SRR3198658
308,SRR7164094
309,ERR2520502
310,SRR1030279
311,SRR3214160
312,SRR2540521
313,SRR2097921
314,SRR6798577
315,SRR2777507
316,SRR3489857
317,SRR6189825
318,SRR5878039
319,SRR5278865
320,SRR3707734
321,SRR5318430
322,SRR3110358
323,SRR1805549
324,SRR1952015
325,SRR7353091
326,SRR6304924
327,SRR4421257
328,SRR1201370
329,SRR4039787
330,SRR1980616
331,SRR6212298
332,ERR1304212
333,SRR5676332
334,SRR6145036
335,SRR7155187
336,SRR3345816
337,SRR1185829
338,SRR2485311
339,SRR3210359
340,SRR3453141
341,SRR3199550
342,SRR5047489
343,SRR1021945
344,SRR4052171
345,SRR3143502
346,SRR5244397
347,SRR5341878
348,SRR2102432
349,SRR4052324
350,SRR1506604
351,SRR3400319
352,SRR5085119
353,ERR2520594
354,SRR1816089
355,SRR6114325
356,SRR1284693
357,SRR2148952
358,SRR3113303
359,SRR3509924
360,SRR5663636
361,SRR1575067
362,SRR1814371
363,ERR1102584
364,ERR2261498
365,SRR1695846
366,SRR5341747
367,SRR3113963
368,ERR2522096
369,SRR6235026
370,SRR1816857
371,SRR3021483
372,SRR5486838
373,ERR2512045
374,SRR7525562
375,SRR6366518
376,SRR7866515
377,SRR5452274
378,SRR2061214
379,SRR1284712
380,SRR6766618
381,SRR5764915
382,ERR1738799
383,SRR2954311
384,ERR2521915
385,SRR3710278
386,SRR3175181
387,SRR3294880
388,SRR3606553
389,SRR2636962
390,SRR2414920
391,ERR1230384
392,SRR3100244
393,SRR2777591
394,ERR1599787
395,SRR2064173
396,SRR2046987
397,SRR3579427
398,SRR2167838
399,SRR1553827
400,SRR1534972
401,SRR6798527
402,SRR2584379
403,SRR5318417
404,ERR2523771
405,SRR2924558
406,SRR4052176
407,SRR5019805
408,SRR2124335
409,SRR7167746
410,SRR5764938
411,SRR3606550
412,SRR1269909
413,SRR2532686
414,SRR5244387
415,SRR1181556
416,SRR3173378
417,SRR3823938
418,SRR1553750
419,SRR5486817
420,SRR5085098
421,ERR2520619
422,SRR5318357
423,SRR1814346
424,ERR1102558
425,SRR3271899
426,SRR3474601
427,SRR1695835
428,ERR2135537
429,ERR2261550
430,SRR3115269
431,SRR5571354
432,SRR7619101
433,SRR1575066
434,SRR3147168
435,SRR4000020
436,SRR5084469
437,ERR2261634
438,SRR5527056
439,SRR3110345
440,SRR5645651
441,SRR5076622
442,SRR5577132
443,SRR6325194
444,SRR5970074
445,SRR2147278
446,ERR2522014
447,SRR1695832
448,SRR2727786
449,ERR1102332
450,ERR2521913
451,SRR3101600
452,SRR1186329
453,SRR3383225
454,SRR6958517
455,SRR1973706
456,ERR1738660
457,SRR4052056
458,SRR2952757
459,SRR5676324
460,SRR1202984
461,ERR1230374
462,ERR1947093
463,SRR2777593
464,SRR3027739
465,SRR1695845
466,SRR6957505
467,SRR1207528
468,SRR3344811
469,SRR5019801
470,SRR1048634
471,SRR5409319
472,ERR2523690
473,SRR1664370
474,SRR3184179
475,ERR2522714
476,ERR1599773
477,SRR1505060
478,SRR5486803
479,SRR5800795
480,SRR4301095
481,SRR2133401
482,SRR1763844
483,ERR1100919
484,SRR7082705
485,SRR5353322
486,SRR2062909
487,SRR5181475
488,SRR4052210
489,ERR1433021
490,SRR6388790
491,SRR3191422
492,SRR2051149
493,SRR1597496
494,SRR2097920
495,SRR2124316
496,SRR1982137
497,SRR2143497
498,ERR2261519
499,SRR3400336
500,SRR1269908
501,SRR3289760
502,SRR3321321
503,SRR7056249
504,SRR1509606
505,SRR1988180
506,SRR5663632
507,SRR3173709
508,SRR1640123
509,SRR5434214
510,SRR3489983
511,SRR5645601
512,SRR1544365
513,SRR3824004
514,SRR3489977
515,SRR4105354
516,ERR1102354
517,ERR2520646
518,SRR2533655
519,SRR1048608
520,ERR1230455
521,SRR3113305
522,ERR2135707
523,SRR2584335
524,SRR1745481
525,SRR1825866
526,ERR1738830
527,SRR3345542
528,SRR2861531
529,SRR2140711
530,SRR3309156
531,SRR988745
532,ERR1102394
533,SRR1619170
534,SRR5360985
535,SRR3109055
536,SRR1688450
537,SRR7179955
538,SRR4052219
539,SRR1793277
540,SRR5931802
541,SRR3320065
542,SRR1818031
543,SRR5573973
544,SRR5962603
545,SRR4250140
546,SRR4300993
547,SRR5353336
548,SRR2057364
549,SRR2724147
550,SRR4032185
551,SRR1796109
552,ERR1947075
553,SRR6313215
554,SRR5311178
555,SRR5599683
556,SRR1695816
557,SRR3309166
558,SRR7586873
559,SRR1220724
560,SRR6425581
561,SRR7282481
562,SRR5366614
563,SRR5085143
564,SRR6998689
565,SRR6664108
566,SRR3095269
567,SRR3571284
568,SRR5878035
569,SRR3240949
570,SRR3321304
571,SRR2003530
572,ERR2261402
573,SRR7164085
574,SRR2533774
575,SRR1553732
576,SRR1174765
577,SRR5534506
578,ERR2520648
579,SRR2053342
580,SRR5927991
581,SRR1265021
582,SRR1056324
583,SRR1027083
584,SRR2650252
585,SRR3929014
586,SRR3109047
587,SRR3109044
588,ERR1738791
589,ERR2523684
590,ERR1590243
591,SRR974850
592,SRR6956577
593,SRR2982243
594,SRR6313208
595,SRR7167544
596,SRR4252553
597,ERR2519504
598,SRR2057388
599,SRR5244402
600,SRR7221727
601,SRR6692954
602,SRR5839948
603,SRR4039723
604,SRR7167545
605,SRR2138314
606,SRR5353324
607,SRR3771467
608,SRR1619185
609,SRR6666270
610,SRR1597489
611,SRR5429586
612,ERR1102461
613,ERR2223569
614,SRR1605035
615,SRR5758428
616,ERR2520568
617,SRR7591124
618,ERR2135570
619,SRR6786591
620,SRR4052142
621,ERR2190154
622,SRR5085023
623,SRR5344787
624,SRR7196737
625,SRR1801546
626,SRR5571291
627,SRR7135131
628,SRR2026434
629,SRR2924601
630,SRR3345525
631,ERR2261339
632,SRR5380959
633,SRR3345945
634,SRR3096925
635,SRR1814387
636,SRR2076004
637,SRR3136889
638,SRR1562129
639,SRR6796163
640,ERR1816994
641,SRR4421249
642,ERR1599708
643,SRR1201374
644,SRR6116310
645,SRR945157
646,SRR3086936
647,SRR6740439
648,SRR2048052
649,SRR5417944
650,ERR2521784
651,SRR3345835
652,SRR6304984
653,SRR6798628
654,SRR7442116
655,SRR4733517
656,SRR3272412
657,SRR5292071
658,SRR6659305
659,SRR6235025
660,ERR2521946
661,SRR3198674
662,SRR3646066
663,SRR2154033
664,SRR3945610
665,SRR2542500
666,SRR7277810
667,ERR1276192
668,SRR5277755
669,SRR2924588
670,ERR2522109
671,SRR2054281
672,SRR5632285
673,ERR2189999
674,SRR3437539
675,SRR3345534
676,SRR5208006
677,ERR1102373
678,SRR2952741
679,SRR5711981
680,SRR1687219
681,ERR2519463
682,SRR1805402
683,SRR6881699
684,ERR2261482
685,SRR7420422
686,SRR7164109
687,SRR6656704
688,SRR5865509
689,SRR6366512
690,SRR3109052
691,SRR5084590
692,SRR1745489
693,SRR6366524
694,SRR2727849
695,ERR1230464
696,SRR4733958
697,SRR7619094
698,SRR5817946
699,SRR3112466
700,SRR1609998
701,SRR3184521
702,SRR3173681
703,SRR1805499
704,SRR5676283
705,ERR2522043
706,SRR6784352
707,SRR974887
708,SRR6457780
709,SRR1271391
710,SRR5865412
711,SRR2047239
712,SRR1947014
713,SRR4733969
714,SRR1815980
715,SRR1685950
716,SRR1030274
717,SRR1033761
718,SRR5632797
719,ERR2309480
720,SRR4272562
721,SRR6457839
722,SRR5182487
723,SRR2860614
724,SRR3405531
725,SRR1505024
726,SRR2147311
727,SRR3490122
728,SRR2954297
729,SRR6212568
730,ERR2261574
731,SRR3660012
732,SRR6860987
733,SRR3407799
734,SRR988736
735,ERR2521900
736,SRR4446467
737,SRR1996328
738,SRR3723120
739,SRR1378348
740,ERR2190011
741,SRR3474611
742,SRR4101558
743,SRR7251020
744,SRR1805428
745,SRR3102201
746,ERR1738712
747,ERR2190033
748,SRR1170891
749,SRR1779480
750,ERR2522351
751,SRR3096927
752,ERR1947092
753,SRR5123176
754,ERR2520574
755,ERR2520714
756,SRR4022314
757,SRR5000193
758,SRR7187052
759,SRR6324856
760,ERR1230439
761,SRR3707423
762,SRR1770491
763,SRR5764911
764,SRR1304623
765,SRR6956667
766,SRR6798523
767,SRR5926995
768,SRR1805384
769,SRR6656705
770,SRR3037949
771,SRR6829269
772,SRR7187034
773,SRR7421735
774,SRR7084883
775,SRR5764976
776,SRR1815997
777,ERR2309469
778,SRR3345875
779,SRR1816001
780,SRR3242151
781,SRR3345697
782,SRR5663609
783,SRR1269989
784,SRR5116279
785,SRR3489995
786,SRR1805500
787,SRR5117429
788,SRR1553840
789,SRR6304499
790,SRR1481707
791,SRR2915973
792,SRR5526031
793,SRR3114224
794,SRR5646647
795,ERR2520950
796,SRR1509621
797,ERR2520713
798,SRR2047409
799,SRR1166853
800,SRR1536772
801,SRR1304628
802,SRR2482397
803,SRR3215334
804,SRR5418722
805,SRR5195249
806,SRR3921654
807,SRR6163106
808,SRR4419037
809,SRR5583086
810,SRR5896266
811,ERR2135748
812,SRR1269982
813,ERR2522054
814,SRR1101592
815,SRR1166838
816,ERR2189920
817,SRR3112599
818,SRR5318394
819,SRR1805511
820,SRR4255594
821,SRR2026429
822,SRR1520086
823,SRR6984767
824,SRR5663604
825,SRR1816067
826,SRR4446671
827,SRR7551176
828,SRR2147326
829,ERR1276176
830,SRR6695296
831,SRR1640222
832,SRR3108920
833,SRR5121006
834,SRR5378757
835,SRR7187041
836,SRR2102284
837,SRR3921655
838,SRR974879
839,ERR2523727
840,SRR2080622
841,SRR3474660
842,SRR1201368
843,SRR7456389
844,ERR2519475
845,SRR3372408
846,SRR5045463
847,SRR6143707
848,SRR6159207
849,SRR1656980
850,SRR988742
851,SRR6238440
852,SRR3824006
853,SRR6745677
854,SRR3345852
855,SRR2002465
856,SRR1805443
857,SRR5656398
858,SRR7167581
859,ERR1100964
860,SRR1562160
861,SRR3112605
862,SRR6395235
863,SRR1027067
864,SRR5758447
865,SRR7093791
866,SRR3489879
867,ERR2520636
868,SRR5970156
869,SRR5663591
870,SRR3606975
871,ERR1102528
872,SRR4052081
873,ERR1599811
874,SRR1767827
875,SRR7591105
876,SRR3438170
877,SRR2048048
878,ERR1599801
879,SRR2103768
880,SRR1207505
881,SRR7184575
882,ERR1102607
883,ERR1599748
884,SRR1946863
885,ERR2189881
886,SRR3771473
887,SRR5896261
888,ERR2521880
889,SRR5279055
890,SRR2646861
891,SRR2102315
892,SRR6212296
893,SRR3344826
894,SRR6496725
895,SRR3178064
896,SRR1101641
897,SRR2994364
898,SRR4305547
899,SRR5016725
900,SRR6436739
901,SRR5341553
902,SRR3067415
903,SRR2047577
904,ERR2522180
905,ERR1738777
906,SRR5571301
907,SRR1177212
908,SRR2051278
909,SRR7168451
910,ERR1432999
911,SRR1021947
912,SRR3945598
913,SRR2048046
914,SRR1553867
915,SRR3095277
916,SRR1263962
917,SRR6511380
918,SRR3400348
919,SRR5839924
920,SRR1622984
921,ERR1102377
922,SRR5291708
923,SRR5632781
924,SRR3823940
925,ERR2521782
926,SRR3330409
927,SRR1288444
928,SRR3489992
929,SRR2924597
930,SRR1021943
931,SRR6059685
932,SRR3345845
933,SRR972406
934,SRR7164102
935,SRR5085147
936,SRR5335925
937,ERR1947128
938,SRR3394985
939,ERR2520760
940,SRR3067391
941,SRR2029591
942,SRR7056248
943,ERR1100928
944,SRR4098794
945,SRR1562090
946,SRR3723049
947,SRR7186462
948,SRR1174762
949,SRR7289734
950,SRR3110541
951,SRR7163882
952,SRR2096634
953,SRR1639674
954,SRR3545238
955,SRR5632866
956,SRR2953194
957,SRR5344719
958,SRR3234673
959,SRR2994374
960,SRR6740466
961,SRR3606555
962,SRR3490119
963,SRR3571287
964,ERR2519507
965,SRR2577525
966,SRR6189826
967,SRR5947676
968,ERR2522150
969,SRR3991004
970,SRR1609995
971,ERR1738840
972,SRR1263973
973,SRR5571314
974,SRR6426041
975,SRR2225316
976,SRR3173576
977,SRR1269975
978,SRR3171756
979,SRR3489841
980,ERR1599813
981,SRR1575087
982,SRR4446217
983,SRR4416158
984,ERR1600118
985,SRR6325467
986,SRR1638894
987,SRR6660103
988,SRR3037426
989,SRR5647029
990,SRR2924575
991,SRR3634436
992,SRR5936887
993,SRR2910651
994,SRR5409323
995,SRR4052270
996,SRR7591619
997,SRR4005298
998,SRR3109063
999,SRR6740447
1000,ERR2261362
1001,ERR2261437
1002,SRR1574290
1003,SRR4052165
1004,SRR3474593
1005,ERR1102583
1006,SRR945174
1007,SRR2585476
1008,ERR2135673
1009,SRR2422616
1010,SRR6451470
1011,SRR5945725
1012,SRR1505040
1013,SRR5387508
1014,SRR1818094
1015,SRR2154028
1016,SRR5931812
1017,SRR5409482
1018,SRR2061220
1019,SRR2916715
1020,SRR5209221
1021,SRR6297848
1022,SRR7535624
1023,SRR6325192
1024,SRR2646866
1025,SRR6496792
1026,SRR5764913
1027,ERR2261663
1028,SRR7164141
1029,SRR5646644
1030,SRR3114210
1031,SRR5292084
1032,SRR5057463
1033,SRR1571546
1034,SRR2831337
1035,SRR4005299
1036,SRR2124385
1037,SRR3199553
1038,SRR5676338
1039,ERR1738726
1040,SRR6436644
1041,SRR1814363
1042,SRR1609993
1043,ERR2522211
1044,SRR3372410
1045,SRR5571329
1046,SRR5244398
1047,SRR2047395
1048,SRR2916704
1049,SRR5656274
1050,SRR3147180
1051,SRR3649728
1052,SRR975365
1053,ERR1738738
1054,SRR6656711
1055,SRR3452338
1056,SRR4032991
1057,SRR6348615
1058,ERR2520618
1059,ERR2261365
1060,SRR1805414
1061,SRR5219623
1062,SRR2102312
1063,ERR1599685
1064,ERR1600131
1065,SRR1448852
1066,SRR957724
1067,SRR4473723
1068,SRR3509938
1069,SRR1656994
1070,SRR1505014
1071,SRR6008532
1072,SRR4419018
1073,SRR3345867
1074,ERR2261596
1075,SRR6113906
1076,SRR5318396
1077,SRR3096929
1078,SRR5084551
1079,SRR3272462
1080,SRR3057338
1081,SRR7172532
1082,SRR1640113
1083,SRR5195759
1084,SRR5878369
1085,ERR1304270
1086,SRR5632258
1087,SRR5487929
1088,SRR5945722
1089,SRR1640197
1090,SRR1185857
1091,SRR1269878
1092,SRR7525558
1093,ERR2520599
1094,SRR7181730
1095,SRR5817979
1096,SRR5087477
1097,SRR7165609
1098,SRR3133022
1099,SRR6190229
1100,SRR6692905
1101,ERR1947080
1102,SRR5010511
1103,SRR1816851
1104,SRR3554618
1105,ERR2512029
1106,SRR2577636
1107,SRR6729467
1108,SRR5452672
1109,SRR1805459
1110,SRR5318588
1111,SRR1422650
1112,SRR1203015
1113,SRR3391829
1114,ERR1738742
1115,ERR2190079
1116,SRR5409316
1117,SRR5631692
1118,ERR2522171
1119,SRR1694080
1120,SRR2533625
1121,SRR6807425
1122,SRR4416153
1123,SRR3642987
1124,SRR7047937
1125,SRR6348620
1126,SRR6000146
1127,SRR1562152
1128,SRR5645222
1129,SRR6389492
1130,SRR3215295
1131,ERR2522107
1132,SRR3465339
1133,SRR2542468
1134,SRR6354911
1135,SRR6805488
1136,SRR1021893
1137,SRR1269888
1138,SRR4052201
1139,SRR5962872
1140,ERR2522208
1141,SRR1534967
1142,SRR5291677
1143,SRR1814350
1144,ERR1599802
1145,SRR1818098
1146,SRR3489866
1147,SRR3309165
1148,SRR7184412
1149,SRR5400201
1150,SRR5645647
1151,SRR1805642
1152,ERR2521921
1153,SRR945154
1154,SRR5019803
1155,ERR2309472
1156,SRR6236047
1157,SRR2051120
1158,SRR2724039
1159,ERR2522203
1160,SRR1217487
1161,SRR5037787
1162,ERR2135566
1163,SRR5687517
1164,SRR1272483
1165,SRR4119766
1166,ERR2523738
1167,SRR6236054
1168,SRR7281479
1169,SRR2952777
1170,ERR1599875
1171,SRR6457826
1172,SRR5764926
1173,ERR2522130
1174,SRR6412223
1175,SRR2058163
1176,SRR3490097
1177,SRR6798635
1178,SRR5632861
1179,SRR5764980
1180,SRR2040768
1181,SRR5656427
1182,SRR3540957
1183,SRR5861856
1184,SRR1816096
1185,SRR5184993
1186,SRR4237765
1187,SRR2051166
1188,SRR1695782
1189,SRR6798555
1190,SRR5448087
1191,ERR2520642
1192,SRR3110265
1193,SRR5632040
1194,SRR5016855
1195,SRR1779353
1196,SRR5335924
1197,SRR2917146
1198,ERR1599793
1199,SRR5526112
1200,SRR1695783
1201,SRR3345947
1202,SRR2124432
1203,SRR3114233
1204,SRR5948542
1205,SRR7277877
1206,SRR1535729
1207,SRR6395721
1208,SRR3490154
1209,SRR6956178
1210,SRR2584345
1211,SRR5663583
1212,SRR3123256
1213,SRR6881707
1214,SRR3129727
1215,SRR5572490
1216,ERR2521526
1217,ERR2521527
1218,ERR1599860
1219,ERR2520757
1220,SRR5687524
1221,SRR1411140
1222,ERR2521237
1223,SRR1043172
1224,ERR1102488
1225,SRR6703115
1226,SRR1534970
1227,SRR5642344
1228,SRR1639760
1229,SRR1622987
1230,SRR3707728
1231,SRR2727857
1232,SRR1619217
1233,SRR3095268
1234,SRR4022316
1235,SRR4014392
1236,SRR5017512
1237,SRR2976725
1238,SRR7179949
1239,SRR5023356
1240,ERR2521211
1241,SRR1609996
1242,SRR6760221
1243,SRR1055865
1244,SRR5926235
1245,SRR5650662
1246,SRR2986297
1247,SRR4052225
1248,SRR6740456
1249,SRR5942292
1250,SRR5318362
1251,SRR6395262
1252,SRR7048255
1253,SRR2081166
1254,SRR6327663
1255,SRR5292074
1256,SRR3945587
1257,SRR3647325
1258,SRR2138283
1259,SRR7521737
1260,SRR1055857
1261,SRR3489809
1262,SRR1818106
1263,SRR1976244
1264,SRR5817940
1265,SRR3086935
1266,ERR2521613
1267,SRR1612342
1268,SRR3395005
1269,SRR6156915
1270,SRR5361621
1271,SRR2047433
1272,SRR3360162
1273,SRR7172526
1274,SRR1269987
1275,SRR6957240
1276,SRR7028541
1277,SRR6676357
1278,SRR5085144
1279,SRR7172436
1280,SRR1269881
1281,ERR2261522
1282,SRR1988260
1283,SRR2053316
1284,ERR2521899
1285,SRR1816101
1286,SRR5764845
1287,SRR6829234
1288,SRR6958538
1289,ERR2521299
1290,ERR2520649
1291,SRR5683413
1292,SRR1536777
1293,SRR5016874
1294,ERR1304255
1295,SRR3372254
1296,SRR5278970
1297,SRR1996260
1298,SRR5047519
1299,SRR3345917
1300,SRR2969418
1301,SRR3405549
1302,SRR7345482
1303,SRR5066063
1304,SRR3400322
1305,SRR1451261
1306,SRR3437562
1307,ERR2261576
1308,SRR2585407
1309,SRR5116577
1310,SRR3632211
1311,SRR5929435
1312,ERR2522066
1313,SRR4098703
1314,SRR4301097
1315,SRR1640201
1316,SRR5353323
1317,SRR2878361
1318,SRR2917147
1319,SRR2219968
1320,SRR1509569
1321,ERR2521709
1322,ERR2261584
1323,SRR5160268
1324,SRR4052092
1325,SRR5057470
1326,SRR3925085
1327,ERR1102582
1328,ERR1599670
1329,SRR1027071
1330,SRR3743334
1331,SRR3002517
1332,SRR1779483
1333,SRR5160119
1334,ERR2523746
1335,SRR6251800
1336,SRR2910649
1337,SRR3082378
1338,ERR2522126
1339,ERR2261652
1340,SRR4052230
1341,SRR5452281
1342,SRR5337906
1343,SRR7535626
1344,ERR2521737
1345,SRR2960789
1346,ERR2521882
1347,SRR5413032
1348,SRR5643228
1349,ERR2189823
1350,SRR2584002
1351,SRR6750947
1352,SRR5572492
1353,SRR3474643
1354,SRR7591106
1355,SRR5878372
1356,SRR1779457
1357,ERR2135746
1358,SRR4417911
1359,SRR1027085
1360,SRR7163872
1361,SRR5666385
1362,ERR1599847
1363,ERR1590242
1364,SRR1816814
1365,SRR2352243
1366,SRR1206144
1367,SRR3933752
1368,SRR6782269
1369,SRR3143506
1370,ERR2261438
1371,SRR2047399
1372,SRR2003528
1373,SRR1562142
1374,SRR1449226
1375,SRR5764949
1376,ERR1230446
1377,SRR3210354
1378,SRR2047406
1379,SRR7179993
1380,SRR2905858
1381,SRR3082379
1382,SRR5908551
1383,SRR3878182
1384,SRR2960783
1385,ERR1100927
1386,SRR954551
1387,SRR3437512
1388,SRR5571324
1389,SRR2562283
1390,SRR4446254
1391,ERR2520778
1392,ERR1947110
1393,SRR6059689
1394,SRR6798564
1395,SRR6050412
1396,SRR3199598
1397,SRR3112451
1398,SRR6787036
1399,SRR3191429
1400,SRR1996287
1401,SRR6457802
1402,SRR5344793
1403,SRR5632963
1404,ERR1947091
1405,SRR2728254
1406,SRR5085123
1407,SRR5344789
1408,SRR3309240
1409,SRR2583998
1410,SRR3037944
1411,SRR3112617
1412,ERR1590283
1413,SRR5985801
1414,SRR5318361
1415,SRR5318257
1416,SRR1198955
1417,ERR1431121
1418,SRR3345911
1419,SRR961944
1420,SRR6837141
1421,SRR5452277
1422,SRR3707730
1423,SRR1688449
1424,SRR4418757
1425,SRR5644434
1426,ERR1947071
1427,SRR3173716
1428,SRR3399713
1429,SRR5341890
1430,SRR1005498
1431,SRR4052265
1432,SRR2124415
1433,SRR3191428
1434,ERR2523668
1435,ERR1100963
1436,SRR1656979
1437,SRR1141170
1438,SRR3091781
1439,SRR3294950
1440,SRR6495203
1441,SRR2047542
1442,SRR5497380
1443,ERR2521550
1444,ERR2261565
1445,SRR5341833
1446,ERR2522086
1447,ERR2520573
1448,SRR5896263
1449,SRR3027726
1450,SRR6829254
1451,SRR3823935
1452,SRR3579428
1453,SRR6236048
1454,SRR5308052
1455,SRR7164115
1456,ERR2135652
1457,SRR5486846
1458,SRR2976734
1459,SRR1695791
1460,SRR6675256
1461,SRR3578134
1462,SRR2914408
1463,SRR2532685
1464,SRR5714971
1465,SRR5027549
1466,SRR1805440
1467,SRR3110270
1468,SRR2077406
1469,SRR2646868
1470,SRR1562100
1471,ERR2520678
1472,SRR5764971
1473,SRR6159205
1474,SRR5989137
1475,SRR7184403
1476,SRR5223176
1477,SRR2485313
1478,SRR1562141
1479,SRR3215364
1480,SRR5000312
1481,SRR7172443
1482,SRR5263248
1483,SRR3490073
1484,SRR3646062
1485,ERR2522033
1486,SRR6413642
1487,SRR1041629
1488,SRR5488512
1489,SRR3345854
1490,SRR2047441
1491,SRR6394748
1492,SRR2062907
1493,SRR1805399
1494,ERR2522049
1495,SRR1638893
1496,SRR5279059
1497,SRR4052102
1498,SRR2124280
1499,ERR1276173
1500,ERR1940759
